Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation
1707172379.7816908,VRU_Adult_Using_Scooter_or_Skateboard,11.380690227855336,1.13,4.0512245134873845,1.23,-3.375228339975531,1.76,-169.88214171903766
1707172379.7816908,Passenger_Vehicle,25.538835162208194,2.6,-29.05704016912551,5.08,-2.4838638475963055,1.85,59.52827450523557
1707172379.7816908,Passenger_Vehicle,22.9812526067098,2.6,-25.458682060241703,5.08,-3.085053221384684,1.85,-25.337595776642473
1707172379.881691,VRU_Adult_Using_Scooter_or_Skateboard,11.348665078481039,1.13,4.032684584458669,1.23,-3.3940629959106445,1.76,-174.32219892620972
1707172379.881691,Passenger_Vehicle,23.917774505615235,2.6,-24.565411682128907,5.08,-3.0010869026184084,1.85,-136.50339196682899
1707172379.881691,Passenger_Vehicle,22.97977465391159,2.6,-25.44568854570389,5.08,-2.946836121380329,1.85,-24.068727261460946
1707172379.981691,VRU_Adult_Using_Scooter_or_Skateboard,11.349866485595706,1.13,4.0298954248428345,1.23,-3.3695461750030518,1.76,179.99798479248042
1707172379.981691,Passenger_Vehicle,23.61029855410258,2.6,-24.824198722839352,5.08,-3.032590468724569,1.85,-134.47777339709847
1707172379.981691,Passenger_Vehicle,22.987311086347027,2.6,-25.454763350948216,5.08,-3.034341235314646,1.85,-22.095388201487925
1707172380.0816908,VRU_Adult_Using_Scooter_or_Skateboard,11.434976577758789,1.13,4.465617338816323,1.23,-3.4365466435750336,1.76,54.07014901737521
1707172380.0816908,Passenger_Vehicle,23.99554937857169,2.6,-24.48492205584491,5.08,-3.02145368081552,1.85,-133.41586090477426
1707172380.0816908,Passenger_Vehicle,22.962215900421143,2.6,-25.431397332085506,5.08,-2.917524688773685,1.85,-18.892489555924232
1707172380.181691,VRU_Adult_Using_Scooter_or_Skateboard,11.398731231689453,1.13,4.060300985972088,1.23,-3.38495421409607,1.76,-65.79022678581313
1707172380.181691,Passenger_Vehicle,25.36653473263695,2.6,-27.95765440804617,5.08,-2.610047749110631,1.85,58.1287866482707
1707172380.181691,Passenger_Vehicle,22.975559183069176,2.6,-25.437074042655325,5.08,-2.942900071272979,1.85,-23.421875435597283
1707172380.2816908,VRU_Adult_Using_Scooter_or_Skateboard,11.369332122802735,1.13,4.059614372253416,1.23,-3.365617275238037,1.76,-178.86724412648422
1707172380.2816908,Passenger_Vehicle,23.86784274761493,2.6,-24.592791777390694,5.08,-2.9459997415542603,1.85,-135.43232256571358
1707172380.2816908,Passenger_Vehicle,22.96049014004794,2.6,-25.435413013805046,5.08,-2.9179421121423896,1.85,-25.63597154540338
