Timestamps,subclass,x_center,x_length,y_center,y_length,z_center,z_length,z_rotation
1706113404.245085,VRU_Adult,25.878020858764653,0.83,-22.60534534454346,0.75,-2.782985067367552,1.59,130.3543513024642
1706113404.4450848,VRU_Adult,25.88325985995206,0.83,-22.58044242858887,0.75,-2.785222335295242,1.59,122.53583809917045
1706113404.545085,VRU_Adult,26.386059522628788,0.83,-25.246812105178833,0.75,-2.4970763996243464,1.59,-72.45303506481756
1706113404.6450849,VRU_Adult,25.913608233133957,0.83,-22.590989112854004,0.75,-2.858644068241118,1.59,116.60928398104733
1706113404.745085,Passenger_Vehicle,26.39443016052246,2.6,-25.22962236404419,5.08,-2.549341730773448,1.85,-72.47596667865147
1706113404.845085,VRU_Adult,26.406419277191166,0.83,-25.247430086135864,0.75,-2.4966207519173613,1.59,-72.2536472714718
1706113404.9450848,VRU_Adult,25.910330636160715,0.83,-22.57112775530134,0.75,-2.8350765364510653,1.59,122.56415155101487
1706113405.045085,Passenger_Vehicle,25.904614962064308,2.6,-22.59419690645658,5.08,-2.8450627877162042,1.85,127.48088473113094
1706113405.4450848,Passenger_Vehicle,25.904308727809365,2.6,-22.598637308393204,5.08,-2.830808469227381,1.85,121.68121591749087
1706113405.745085,VRU_Adult,26.934065103530884,0.83,-27.959595441818237,0.75,-2.2687545418739306,1.59,-72.01666758043291
1706113405.845085,VRU_Adult,25.89773025512696,0.83,-22.63399028778076,0.75,-2.8039274930953964,1.59,127.98833280414523
1706113405.9450848,VRU_Adult,25.890220642089844,0.83,-22.593021074930828,0.75,-2.802509486675261,1.59,122.54848631272247
1706113406.045085,VRU_Adult,25.87046623229981,0.83,-22.59244121204723,0.75,-2.7490417090329244,1.59,129.2363645306457
1706113406.1450849,VRU_Adult,25.870520973205565,0.83,-22.558517837524413,0.75,-2.7687064886093133,1.59,123.40029394864004
1706113406.245085,VRU_Adult,25.743776321411133,0.83,-22.44852485656738,0.75,-2.6282756328582755,1.59,65.90915779096946
1706113406.345085,VRU_Adult,25.74968051910401,0.83,-22.464097023010257,0.75,-2.5893645882606484,1.59,64.37790602925507
